Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.47836680837377E-05,-7.29922213694167E-05,0.135451460658676,0,0,0,7.39043203999695,0.0239210692276961,-2.58135743405477E-06,1.79160764000028E-05,0.0232756302136806,8.0104408167098E-06,0.00535812822154743,0,0,0,0,0,0,meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/base_link.STL,,手掌装配V1.6 - L-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体2-1/LHL30-1.4R-020.04 手臂舵机安装骨架R-1;手掌装配V1.6 - L-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/LHL30-1.4-020.03 手臂外壳-全封闭-1;手掌装配V1.6 - L-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/LHL30-1.4-020.03 手臂外壳-全封闭-2;手掌装配V1.6 - L-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/LHL30-1.4-020.08 手臂骨架底部封板-1;手掌装配V1.6 - L-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体1-1/LHL30-1.4R-020.01 手臂前端穿线盘-2-1;手掌装配V1.6 - L-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体1-1/LHL30-1.4-020.02 手腕轴承护板-1;手掌装配V1.6 - L-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体1-1/LHL30-1.4-020.02 手腕轴承护板-2,base_link.zb,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wrist_carpal_link0,0.0151646449351294,-0.0563950279969165,0.0553213073411567,0,0,0,1.6332557071612,0.00196999718494365,-2.7810891594582E-10,-8.40593275589179E-05,0.00129922860114994,-1.00311203390627E-05,0.000961217448072682,0,0,0,0,0,0,meshes/wrist_carpal_link0.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/wrist_carpal_link0.STL,,手掌装配V1.6 - L-1/3.2-_X2_624B638C524D58F3_X0_L-1;手掌装配V1.6 - L-1/Document-L-1,wrist_pitch.zb,wrist_pitch,wrist_pitch,revolute,0,-0.000350000000000003,0.2695,0,0,0,base_link,0,-1,0,1,1,-1.05,1.05,,,,,,,,
pinky_metacarpals,0.000881515371553898,-1.7449077543974E-07,0.00931305311202565,0,0,0,0.0217912001053856,1.7386117286323E-06,-6.56802707382255E-11,1.57441575083096E-07,1.5682151277077E-06,6.65954379794535E-11,1.11832522042812E-06,0,0,0,0,0,0,meshes/pinky_metacarpals.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/pinky_metacarpals.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.04 2-4正交关节-1,pinky_mcp_roll.zb,pinky_mcp_roll,pinky_mcp_roll,revolute,0.00127526976334769,0.0297067497044251,0.0847694802602999,0,0,-0.174532925199294,wrist_carpal_link0,-1,0,0,1,1,-0.26,0.26,,,,,,,,
pinky_proximal,-0.000572974930841852,6.72723340390188E-06,0.0148055389180647,0,0,0,0.0467095115507565,7.45503799361386E-06,-3.50877194283065E-09,-2.33435743673688E-07,7.41158245352845E-06,-5.52694669550887E-09,1.7651892376644E-06,0,0,0,0,0,0,meshes/pinky_proximal.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/pinky_proximal.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.03 2-3四指关节-1;手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.03 2-3四指关节橡胶-1,pinky_mcp_pitch.zb,pinky_mcp_pitch,pinky_mcp_pitch,revolute,0.002,0,0.016,0,0,0,pinky_metacarpals,0,1,0,1,1,0,1.57,,,,,,,,
pinky_middle,-0.000696667976214593,7.65441051462853E-06,0.0119175907693834,0,0,0,0.0385526474415706,4.1238569273563E-06,-1.87431703651689E-09,-1.45581732437678E-07,4.03441534957178E-06,-4.18078691295654E-09,1.20955269737506E-06,0,0,0,0,0,0,meshes/pinky_middle.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/pinky_middle.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.02 2-2四指关节-1;手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.08 2-2四指关节橡胶-1,pinky_pip.zb,ring_pip,pinky_pip,revolute,0,0,0.037478,0,0,0,pinky_proximal,-0.10453,0.99452,0,1,1,0,1.57,,,,,,,,
pinky_distal,-0.00179031680949637,9.09084048359918E-06,0.0106275014464014,0,0,0,0.0266705728837951,1.45783655154571E-06,8.01522948128695E-10,-3.21549004869667E-07,1.44000225684697E-06,-1.73658630494249E-09,6.1563941444205E-07,0,0,0,0,0,0,meshes/pinky_distal.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/pinky_distal.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.01 2-1四指指尖-1;手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.09 2-1四指指尖橡胶-1,pinky_dipl.zb,pinky_dip,pinky_dip,revolute,0,0,0.029233,0,0,0,pinky_middle,0,1,0,1,1,0,1.57,,,,,,,,
ring_metacarpals,0.000881493706173964,-1.93784088581284E-07,0.00931305915912733,0,0,0,0.021791245539245,1.73861533113208E-06,-6.18780568747866E-11,1.57439810508944E-07,1.56821769490398E-06,6.57013977450597E-11,1.11832824846086E-06,0,0,0,0,0,0,meshes/ring_metacarpals.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/ring_metacarpals.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.04 2-4正交关节-1,ring_mcp_roll.zb,ring_mcp_roll,ring_mcp_roll,revolute,-0.00272430692767289,0.00970094388229978,0.0918030187439984,0,0,-0.0698131700798272,wrist_carpal_link0,1,0,0,1,1,-0.26,0.26,,,,,,,,
ring_proximal,-0.000572969271011914,6.74120597560224E-06,0.0148055880287357,0,0,0,0.0467096984235083,7.45507281224641E-06,-3.50498646509994E-09,-2.33443759296483E-07,7.41159877033025E-06,-5.52885624647032E-09,1.76518161194032E-06,0,0,0,0,0,0,meshes/ring_proximal.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/ring_proximal.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.03 2-3四指关节橡胶-1;手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.03 2-3四指关节-1,ring_mcp_pitch.zb,ring_mcp_pitch,ring_mcp_pitch,revolute,0.002,0,0.016,0,0,0,ring_metacarpals,0,1,0,1,1,0,1.57,,,,,,,,
ring_middle,-0.000696669740149369,7.66098173778096E-06,0.0119175842155672,0,0,0,0.0385526559517599,4.12385634427766E-06,-1.87460265298593E-09,-1.45581387098401E-07,4.03441593823555E-06,-4.18191745961323E-09,1.20955291772208E-06,0,0,0,0,0,0,meshes/ring_middle.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/ring_middle.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.02 2-2四指关节-1;手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.08 2-2四指关节橡胶-1,ring_pip.zb,ring_pip,ring_pip,revolute,0,0,0.037478,0,0,0,ring_proximal,0,1,0,1,1,0,1.57,,,,,,,,
ring_distal,-0.00179023910571241,9.15163753179016E-06,0.0106273366031392,0,0,0,0.0266700747388928,1.45775832241755E-06,7.97293289644918E-10,-3.21532594291881E-07,1.43992944543708E-06,-1.72118660915731E-09,6.15626716074496E-07,0,0,0,0,0,0,meshes/ring_distal.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,meshes/ring_distal.STL,,手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.01 2-1四指指尖-1;手掌装配V1.6 - L-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.09 2-1四指指尖橡胶-1,ring_dip.zb,ring_dip,ring_dip,revolute,0,0,0.029233,0,0,0,ring_middle,0,-1,0,1,1,0,1.57,,,,,,,,
