Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.78360470361021E-05,5.84129283298378E-05,0.110204869335939,0,0,0,1.19996287501162,0.00319511824805248,-3.35411418418739E-07,-2.32794896379696E-06,0.00316007977554725,-1.04084720062964E-06,0.000915758544375793,0,0,0,0,0,0,/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,/meshes/base_link.STL,,手掌装配V1.6(2)-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体2-1/LHL30-1.4R-020.04 手臂舵机安装骨架R-1;手掌装配V1.6(2)-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/LHL30-1.4-020.03 手臂外壳-全封闭-1;手掌装配V1.6(2)-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/LHL30-1.4-020.03 手臂外壳-全封闭-2;手掌装配V1.6(2)-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/LHL30-1.4-020.08 手臂骨架底部封板-1;手掌装配V1.6(2)-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体1-1/LHL30-1.4R-020.01 手臂前端穿线盘-2-1;手掌装配V1.6(2)-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体1-1/LHL30-1.4-020.02 手腕轴承护板-1;手掌装配V1.6(2)-1/LHL30-1.4-020.00 手臂总成-1/LHL30-1.4-020.00 手臂总成(2)-1/V1.4 装配体1-1/LHL30-1.4-020.02 手腕轴承护板-2,base_link.zb,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wrist_carpal_link0,-0.0013188297151566,0.00419215129865731,0.0568292947029069,0,0,0,0.126513004408103,0.000147376941805702,-2.5463222024568E-06,-5.74242831569389E-06,9.13178784162172E-05,5.40999158401047E-06,7.79021474467894E-05,0,0,0,0,0,0,/meshes/wrist_carpal_link0.STL,1,1,1,1,0,0,0,0,0,0,/meshes/wrist_carpal_link0.STL,,手掌装配V1.6(2)-1/3.2-_X2_624B638C524D58F3_X0_-1;手掌装配V1.6(2)-1/Document-1;手掌装配V1.6(2)-1/手掌橡胶-1,wrist_pitch.zb,wrist_pitch,wrist_pitch,revolute,0,0.000949999999999769,0.27,0,0,0,base_link,0,1,0,1,1,-1.05,1.05,,,,,,,,
pinky_metacarpals,0.000881531610778179,-2.09877243806389E-07,0.00931306214377886,0,0,0,0.00283147168594604,2.2590988505712E-07,-8.29012166240277E-12,2.04572699432187E-08,2.03767666675412E-07,8.21865943458804E-12,1.45311268362227E-07,0,0,0,0,0,0,/meshes/pinky_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,/meshes/pinky_metacarpals.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.04 2-4正交关节-1,pinky_mcp_roll.zb,pinky_mcp_roll,pinky_mcp_roll,revolute,0.00127526976334736,-0.0298067497044224,0.0847694802603011,0,0,0.174532925199293,wrist_carpal_link0,1,0,0,1,1,-0.26,0.26,,,0.05,0.05,,,,
pinky_proximal,-0.000473812872964378,7.83927758460021E-06,0.0148545666960373,0,0,0,0.00615111920538724,9.722660180171E-07,-4.81673057746424E-10,-3.03697641692456E-08,9.65101338569817E-07,-7.17780833885675E-10,2.31094173981637E-07,0,0,0,0,0,0,/meshes/pinky_proximal.STL,1,1,1,1,0,0,0,0,0,0,/meshes/pinky_proximal.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.03 2-3四指关节-1;手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.03 2-3四指关节橡胶-1,pinky_mcp_pitch.zb,pinky_mcp_pitch,pinky_mcp_pitch,revolute,0.00200000000000001,0,0.016,0,0,0,pinky_metacarpals,0,1,0,1,1,0,1.57,,,0.05,0.05,,,,
pinky_middle,-0.000622209131928603,7.1446313610439E-06,0.0119260461353637,0,0,0,0.00506552310154891,5.37602453693131E-07,-2.41247481236753E-10,-1.8929545175523E-08,5.25028012779219E-07,-5.43607914734645E-10,1.58249529530025E-07,0,0,0,0,0,0,/meshes/pinky_middle.STL,1,1,1,1,0,0,0,0,0,0,/meshes/pinky_middle.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.02 2-2四指关节-1;手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.08 2-2四指关节橡胶-1,pinky_pip.zb,ring_pip,pinky_pip,revolute,0,0,0.0374777831322561,0,0,0,pinky_proximal,-0.104528463267461,-0.994521895368293,0,1,1,0,1.57,,,0.05,0.05,,,,
pinky_distal,-0.001652596421734,7.59953012711284E-06,0.0109596820849018,0,0,0,0.0036564425234883,1.96596451476762E-07,1.16053831416968E-10,-4.42078175044234E-08,1.93666844409998E-07,-3.25573086951266E-10,8.39321704387815E-08,0,0,0,0,0,0,/meshes/pinky_distal.STL,1,1,1,1,0,0,0,0,0,0,/meshes/pinky_distal.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.01 2-1四指指尖-1;手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-1/LHL30-1.5-010.020.09 2-1四指指尖橡胶-1,pinky_dipl.zb,pinky_dip,pinky_dip,revolute,0,0,0.0292325288130547,0,0,0,pinky_middle,0,-1,0,1,1,0,1.57,,,0.05,0.05,,,,
ring_metacarpals,0.000881506279350704,-2.21236565048702E-07,0.00931306610222371,0,0,0,0.00283147671878209,2.25910111994497E-07,-7.84676842278809E-12,2.04570630486348E-08,2.03768086784782E-07,8.19823731234139E-12,1.45311599490719E-07,0,0,0,0,0,0,/meshes/ring_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,/meshes/ring_metacarpals.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.04 2-4正交关节-1,ring_mcp_roll.zb,ring_mcp_roll,ring_mcp_roll,revolute,-0.00272430692767249,-0.00980094388229778,0.091803018743999,0,0,0.0698131700798264,wrist_carpal_link0,-1,0,0,1,1,-0.26,0.26,,,0.05,0.05,,,,
ring_proximal,-0.00047382069006871,7.83295563399657E-06,0.0148546106925341,0,0,0,0.00615113437453061,9.72271690374484E-07,-4.81257724738526E-10,-3.03702322585071E-08,9.65106409835415E-07,-7.18835406922002E-10,2.3109490435484E-07,0,0,0,0,0,0,/meshes/ring_proximal.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,/meshes/ring_proximal.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.03 2-3四指关节橡胶-1;手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.03 2-3四指关节-1,ring_mcp_pitch.zb,ring_mcp_pitch,ring_mcp_pitch,revolute,0.00199999999999962,0,0.0159999999999989,0,0,0,ring_metacarpals,0,1,0,1,1,0,1.57,,,0.05,0.05,,,,
ring_middle,-0.000622209048381205,7.14683916730116E-06,0.0119260455502033,0,0,0,0.00506552550456168,5.37602459350143E-07,-2.41388758632277E-10,-1.89295595220605E-08,5.25027983116177E-07,-5.43587265719484E-10,1.582496218043E-07,0,0,0,0,0,0,/meshes/ring_middle.STL,1,1,1,1,0,0,0,0,0,0,/meshes/ring_middle.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.02 2-2四指关节-1;手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.08 2-2四指关节橡胶-1,ring_pip.zb,ring_pip,ring_pip,revolute,0,0,0.0374777831322572,0,0,0,ring_proximal,0,-1,0,1,1,0,1.57,,,0.05,0.05,,,,
ring_distal,-0.0016525771245325,7.59932233507059E-06,0.0109597212245427,0,0,0,0.00365642569423104,1.96595177972521E-07,1.15999930590082E-10,-4.42080485759357E-08,1.93665875791833E-07,-3.25490899322871E-10,8.3931555499973E-08,0,0,0,0,0,0,/meshes/ring_distal.STL,1,1,1,1,0,0,0,0,0,0,/meshes/ring_distal.STL,,手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.01 2-1四指指尖-1;手掌装配V1.6(2)-1/LHL30-1.5-010.020 四指组件(加大力矩)-3/LHL30-1.5-010.020.09 2-1四指指尖橡胶-1,ring_dip.zb,ring_dip,ring_dip,revolute,0,0,0.0292325288130547,0,0,0,ring_middle,0,1,0,1,1,0,1.57,,,0.05,0.05,,,,
